Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Horizontal Field Supression,Horizontal Field Supression_DoG,Frame
0.0028488636,28,22,0.005756855,0,16,0.0044398308,0,17,0.0011789799,0,1,0.0036849976,62,21,0.0097379684,53,20,0.0078318119,35,20,0.0016891956,47,0,0.0057470798,65,AnalysisData/frame1840.jpg
0.0026259422,17,18,0.0052671432,0,13,0.0041589737,0,16,0.0012440681,0,2,0.0034749508,23,17,0.0101940632,66,20,0.0083031654,36,22,0.001967907,81,0,0.005507946,19,AnalysisData/frame770.jpg
0.0042331219,13,15,0.0057349205,0,12,0.0038328171,0,14,0.0011899471,0,2,0.0035600662,59,11,0.009262085,71,5,0.0079851151,40,5,0.001734972,68,0,0.0048968792,28,AnalysisData/frame2521.jpg
0.002530098,18,5,0.0053019524,0,8,0.0034301281,0,8,0.000991106,0,0,0.0033788681,30,6,0.008895874,12,8,0.0077688694,3,9,0.0016739368,10,0,0.0051600933,13,AnalysisData/frame716.jpg
0.0030450821,19,21,0.0055029392,0,19,0.0037829876,0,19,0.000893116,0,2,0.0035710335,38,25,0.0096709728,60,16,0.00770998,34,16,0.0020141602,58,0,0.004732132,40,AnalysisData/frame2359.jpg
0.002548933,13,8,0.0053610802,0,14,0.0040509701,0,14,0.0009970665,0,0,0.0036418438,39,10,0.0095608234,51,5,0.0077548027,27,5,0.0021708012,35,0,0.0049231052,18,AnalysisData/frame2202.jpg
0.0026369095,21,6,0.0051059723,0,17,0.0044159889,0,17,0.0011110306,0,1,0.0036811829,42,13,0.0095059872,88,10,0.0081729889,60,10,0.0017521381,88,0,0.0052158833,49,AnalysisData/frame2465.jpg
0.0027809143,16,14,0.005407095,0,17,0.0041129589,0,18,0.0013589859,0,4,0.003139019,16,15,0.0098640919,72,16,0.0088620186,44,16,0.0017840862,78,2,0.005507946,39,AnalysisData/frame2777.jpg
0.0030629635,18,13,0.0058829784,0,15,0.0044620037,0,17,0.0011491776,0,2,0.0030779839,62,19,0.0096411705,66,13,0.0076398849,38,13,0.0017530918,49,1,0.0052368641,32,AnalysisData/frame27.jpg
0.0030128956,4,6,0.0052621365,0,5,0.0042259693,0,5,0.0012049675,0,0,0.0034451485,13,6,0.0096139908,12,5,0.0083010197,4,5,0.0015540123,9,0,0.0048770905,53,AnalysisData/frame865.jpg
0.0025279522,11,9,0.0055429935,0,13,0.0042850971,0,13,0.0011539459,0,0,0.0034790039,27,13,0.005918026,46,6,0.0084428787,26,6,0.0014691353,43,0,0.0052399635,35,AnalysisData/frame2170.jpg
0.0025160313,20,14,0.005698204,0,18,0.0038020611,0,18,0.0010311604,0,0,0.0031058788,43,13,0.009103775,34,14,0.0074892044,18,14,0.001666069,17,0,0.0052449703,41,AnalysisData/frame245.jpg
0.0026359558,16,9,0.0062100887,0,15,0.0043911934,0,16,0.0011701584,0,0,0.0036849976,21,20,0.0096569061,76,16,0.007830143,62,16,0.0018510818,91,0,0.0053241253,14,AnalysisData/frame2914.jpg
0.0024869442,0,0,0.0055510998,0,0,0.0040690899,0,0,0.0011808872,0,0,0.0035471916,0,0,0.0100331306,0,0,0.0085470676,0,0,0.0016610622,0,0,0.0043158531,8,AnalysisData/frame2640.jpg
0.0025131702,6,11,0.006444931,0,8,0.0040278435,0,8,0.0011708736,0,0,0.0031850338,34,5,0.0091879368,40,4,0.0076868534,25,4,0.0029938221,26,0,0.0059030056,74,AnalysisData/frame1981.jpg
0.0026299953,20,14,0.0052878857,0,23,0.0042059422,0,23,0.0012140274,0,0,0.0032289028,42,19,0.0094940662,72,11,0.0073320866,39,11,0.0014009476,65,0,0.0046360493,24,AnalysisData/frame2226.jpg
0.0025498867,13,12,0.0052258968,0,12,0.0043709278,0,12,0.0011730194,0,1,0.0035338402,36,11,0.008425951,52,4,0.0082252026,24,4,0.0018889904,40,0,0.0048148632,13,AnalysisData/frame2205.jpg
0.0042901039,34,14,0.0052089691,0,21,0.0045158863,0,23,0.0011949539,0,0,0.0035381317,39,21,0.0113840103,113,29,0.0085718632,103,30,0.0021290779,156,0,0.0051381588,16,AnalysisData/frame970.jpg
0.0027039051,24,4,0.0065732002,0,10,0.0045368671,0,13,0.0011842251,0,1,0.0035600662,24,21,0.0080490112,74,18,0.0077419281,90,18,0.00167799,134,0,0.0049860477,38,AnalysisData/frame3058.jpg
0.0020899773,13,15,0.0054860115,0,8,0.0042500496,0,8,0.0012001991,0,1,0.0032041073,25,13,0.0095658302,31,8,0.0077331066,15,9,0.0016651154,31,0,0.0050308704,30,AnalysisData/frame440.jpg
0.002835989,14,8,0.0056941509,0,17,0.004076004,0,17,0.001347065,0,1,0.0030999184,39,15,0.0081210136,73,13,0.0079579353,58,14,0.0017640591,93,0,0.0047700405,47,AnalysisData/frame2272.jpg
0.0016930103,20,8,0.0064878464,0,13,0.0042200089,0,14,0.001210928,0,0,0.0037109852,33,13,0.0096871853,71,12,0.0073161125,48,12,0.0020930767,78,0,0.0049347878,44,AnalysisData/frame2441.jpg
0.0019099712,8,9,0.0053098202,0,10,0.0039069653,0,10,0.0012550354,0,1,0.0037090778,31,7,0.0083041191,40,4,0.0079782009,17,4,0.0017299652,33,0,0.0050799847,33,AnalysisData/frame2208.jpg
0.0016560555,14,14,0.0056109428,0,10,0.0049638748,0,11,0.0011920929,0,4,0.0036480427,18,16,0.0096530914,64,12,0.0079250336,33,16,0.0012500286,61,3,0.0058159828,26,AnalysisData/frame2776.jpg
0.003041029,13,4,0.0059309006,0,8,0.0046291351,0,8,0.0011529922,0,0,0.0020098686,25,5,0.009319067,29,9,0.0077030659,9,9,0.0017359257,26,0,0.0047950745,8,AnalysisData/frame1318.jpg
0.002576828,17,5,0.0050690174,0,11,0.0046231747,0,11,0.0007228851,0,0,0.0035481453,19,11,0.0084049702,68,19,0.0078239441,78,19,0.0017900467,127,0,0.0051951408,31,AnalysisData/frame2677.jpg
0.0040299892,13,6,0.0053749084,0,7,0.004404068,0,8,0.0011899471,0,1,0.0037050247,29,8,0.0096929073,33,8,0.0074388981,13,9,0.0017590523,23,1,0.0053579807,45,AnalysisData/frame491.jpg
0.0031869411,18,11,0.0052599907,0,18,0.004278183,0,20,0.0012619495,0,6,0.0032980442,23,12,0.0093870163,69,14,0.0078380108,43,16,0.0016989708,78,2,0.0047938824,28,AnalysisData/frame2136.jpg
0.0025770664,16,22,0.0050740242,0,20,0.0042529106,0,20,0.0011789799,0,0,0.0034761429,92,15,0.0092849731,73,10,0.0080878735,44,10,0.002038002,56,0,0.0054628849,21,AnalysisData/frame1945.jpg
0.0043799877,23,13,0.0064580441,0,18,0.0044770241,0,19,0.0007078648,0,1,0.0031061172,51,12,0.00750494,84,17,0.0078630447,61,17,0.0017139912,97,0,0.0050308704,35,AnalysisData/frame2590.jpg
